Rank,Time,Athlete,Country,Meet Name,Date,Location
Men's 50 FR LCM,,,,,,
1,20.91,Cesar Cielo,BRA,2009 BRA Open,12/18/2009,Sao Paulo
2,20.94,Fred Bousquet,FRA,,4/26/2009,Montpellier
3,21.28,Eamon Sullivan,AUS,2008 AUS Olympic Trials,3/28/2008,Sydney
4,21.41,Eamon Sullivan,AUS,,3/27/2008,Sydney
5,21.5,Alain Bernard,FRA,2008 European Champs,3/23/2008,Eindhoven
6,21.56,Eamon Sullivan,AUS,,2/17/2008,Sydney
7,21.64,Alexander Popov,RUS,2000 Time Trial,6/16/2000,Moscow
8,21.81,Tom Jager,USA,,3/24/1990,Nashville
9,21.98,Tom Jager,USA,,3/24/1990,Nashville
10,22.12,Tom Jager,USA,,8/20/1989,Tokyo
11,22.14,Matt Biondi,USA,,9/24/1988,Seoul
12,22.18,Peter Williams,RSA,,4/10/1988,Indianapolis
13,22.23,Tom Jager,USA,,3/25/1988,Orlando
14,22.32,Tom Jager,USA,,8/13/1987,Brisbane
15,22.33,Matt Biondi,USA,,7/30/1987,Clovis
15,22.33,Matt Biondi,USA,,6/26/1986,Orlando
17,22.4,Tom Jager,USA,,12/6/1985,Austin
18,22.52,Dano Halsall,SUI,,7/21/1985,Bellinzona
19,22.54,Robin Leamy,USA,,8/15/1981,Brown Deer
20,22.71,Joseph Bottom,USA,,8/15/1980,Honolulu
21,22.83,Joseph Bottom,USA,,8/15/1980,Honolulu
21,22.83,Bruce Stahl ,USA,,4/10/1980,Austin
23,22.96,Rowdy Gaines,USA,,4/10/1980,Austin
24,23.12,Chris Cavanaugh,USA,,4/10/1980,Austin
25,23.66,Chris Cavanaugh,USA,,2/2/1980,Amersfoort
26,23.7,Klaus Steinbach,GER,,7/23/1979,Freiburg
27,23.72,Ron Manganiello,USA,,7/29/1978,Miami
28,23.74,Joseph Bottom,USA,,7/3/1977,Etobicoke
29,23.86,Jonty Skinner,RSA,,8/14/1976,Philadelphia
,,,,,,
Women's 50 FR LCM,,,,,,
1,23.67,Sarah Sjostrom,SWE,,7/29/2017,Budapest
2,23.73,Britta Steffen,GER,2009 World Champs ,8/2/2009,Rome
3,23.96,Marleen Veldhuis,NED,2008 Olympic Invite,4/19/2009,Amsterdam
4,23.97,Libby Trickett,AUS,2008 AUS Olympic Trials,3/27/2008,Sydney
5,24.09,Marleen Veldhuis,NED,2008 European Champs,3/18/2008,Eindhoven 
6,24.13,Inge De Bruijn,NED,2000 Olympic Games,8/1/2000,Sydney
7,24.39,Inge De Bruijn,NED,,6/10/2000,Rio de Janeiro
8,24.48,Inge De Bruijn,NED,,6/4/2000,Amsterdam
9,24.51,Inge De Bruijn,NED,,5/27/2000,Sheffield
9,24.51,Le Jingyi,CHN,1994 US World Championships,9/11/1994,Rome
11,24.79,Yang Wenji,CHN,,7/31/1992,Barcelona
12,24.98,Yang Wenji,CHN,,4/11/1988,Canton
13,25.28,Tamara Costache,BUL,,8/23/1986,Madrid
,,,,,,
Men's 100 FR LCM,,,,,,
1,46.91,Cesar Cielo,BRA,2009 World Champs ,7/30/2009,Rome
2,46.94,Alain Bernard,FRA,,4/23/2009,Montpellier
3,47.05,Eamon Sullivan,AUS,2008 Olympic Games,8/13/2008,Beijing
4,47.2,Alain Bernard,FRA,2008 Olympic Games,8/13/2008,Beijing
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,2
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 100 FR LCM,,,,,,
5,47.24,Eamon Sullivan,AUS,2008 Olympic Games,8/11/2008,Beijing
6,47.5,Alain Bernard,FRA,2008 European Champs,3/22/2008,Eindhoven
7,47.6,Alain Bernard,FRA,2008 European Champs,3/21/2008,Eindhoven
8,47.84,Pieter Van Den ,,2000 Olympic Games,,Sydney
,,Hoogenband,NED,,9/19/2000,
9,48.18,Michael Klim,AUS,2000 Olympic Games Relay Leadoff,9/16/2000,Sydney
10,48.21,Alexander Popov,RUS,,6/18/1994,Monte Carlo
11,48.42,Matt Biondi,USA,,8/10/1988,Austin
12,48.74,Matt Biondi,USA,,6/24/1986,Orlando
13,48.95,Matt Biondi,USA,,8/6/1985,Mission Viejo
14,49.24,Matt Biondi,USA,,8/6/1985,Mission Viejo
15,49.36,Rowdy Gaines,USA,,4/3/1981,Austin
16,49.44,Jonty Skinner,RSA,,8/14/1976,Philadelphia
17,49.99,Jim Montgomery,USA,,7/25/1976,Montreal
18,50.39,Jim Montgomery,USA,,7/24/1976,Montreal
19,50.59,Jim Montgomery,USA,,8/23/1975,Kansas City
20,51.11,Andrew Coan,USA,,8/3/1975,FtLauderdale
21,51.12,Jim Montgomery,USA,,6/21/1975,Long Beach
22,51.22,Mark Spitz,USA,,9/3/1972,Munich
23,51.47,Mark Spitz,USA,,8/5/1972,Chicago
24,51.94,Mark Spitz,USA,,8/23/1970,Los Angeles
25,52.2,Michael Wenden,AUS,,10/19/1968,Mexico City
26,52.6,Kenneth Walsh,USA,,7/27/1967,Winnipeg
26,52.6,Zac Zorn,USA,,9/2/1968,Long Beach
28,52.9,Alain Gottvalles,FRA,,9/13/1964,Budapest
29,53.6,Manuel Dos Santos,BRA,,9/20/1961,Rio de Janeiro
30,54.4,Steve Clark,USA,,8/18/1961,Los Angeles
31,54.6,John Devitt,AUS,,1/28/1957,Brisbane
32,55.2,John Devitt,AUS,,1/19/1957,Sydney
33,55.4,Jon Henricks,AUS,,11/30/1956,Melbourne
,,,,,,
Women's 100 FR LCM,,,,,,
1,51.71,Sarah Sjostrom,SWE,2017 World Champs,7/23/2017,Budapest
2,52.06,Cate Campbell,AUS,,7/2/2016,Brisbane
3,52.07,Britta Steffen,GER,2009 World Champs ,7/31/2009,Rome
4,52.22,Britta Steffen,GER,,7/26/2009,Rome
5,52.56,Britta Steffen,GER,,6/27/2009,Berlin
6,52.85,Britta Steffen,GER,,6/25/2009,Berlin
7,52.88,Libby Trickett,AUS,2008 AUS Olympic Trials,3/27/2008,Sydney
8,53.3,Britta Steffen,GER,,8/2/2006,Budapest
9,53.42,Libby Trickett,AUS,2006 AUS Commonwealth Gms Trials,1/30/2006,Melbourne
10,53.52,Jodie Henry,AUS,,8/18/2004,Athens
11,53.66,Libby Trickett,AUS,,3/31/2004,Sydney
12,53.77,Inge De Bruijn,NED,2000 Olympic Games,8/1/2000,Sydney
13,53.8,Inge De Bruijn,NED,,5/29/2000,Sheffield
14,54.01,Le Jingyi,CHN,1994 US World Championships,9/5/1994,Rome
15,54.48,Jenny Thompson,USA,,3/1/1992,Indianapolis
16,54.73,Kristin Otto,GDR,,8/19/1986,Madrid
17,54.79,Barbara Krause,GDR,,7/21/1980,Moscow
18,54.98,Barbara Krause,GDR,,7/20/1980,Moscow
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,3
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 100 FR LCM,,,,,,
19,55.41,Barbara Krause,GDR,,7/5/1978,Berlin
20,55.65,Kornelia Ender,GDR,,7/19/1976,Montreal
21,55.73,Kornelia Ender,GDR,,6/6/1976,Berlin
22,56.22,Kornelia Ender,GDR,,7/26/1975,Cali
23,56.38,Kornelia Ender,GDR,,3/14/1975,Dresden
24,56.96,Kornelia Ender,GDR,,8/19/1974,Vienna
25,57.51,Kornelia Ender,GDR,,7/4/1974,Rostock
26,57.54,Kornelia Ender,GDR,,9/9/1973,Belgrade
27,57.61,Kornelia Ender,GDR,,9/8/1973,Belgrade
28,58.12,Kornelia Ender,GDR,,8/18/1973,Utrecht
29,58.25,Kornelia Ender,GDR,,7/13/1973,Berlin
30,58.5,Shane Gould,AUS,,1/8/1972,Sydney
31,58.9,Dawn Fraser,AUS,,2/29/1964,Sydney
31,58.9,Shane Gould,AUS,,4/30/1971,London
33,59.5,Dawn Fraser,AUS,,11/24/1962,Perth
34,59.9,Dawn Fraser,AUS,,10/27/1962,Melbourne
35,1:00.00,Dawn Fraser,AUS,,10/23/1962,Melbourne
36,1:00.20,Dawn Fraser,AUS,,2/23/1960,Sydney
37,1:01.20,Dawn Fraser,AUS,,8/10/1958,Schiedam
38,1:01.40,Dawn Fraser,AUS,,7/21/1958,Cardiff
39,1:01.50,Dawn Fraser,AUS,,2/18/1958,Melbourne
40,1:02.00,Dawn Fraser,AUS,,12/1/1956,Melbourne
41,1:02.40,Loraine Crapp,AUS,,12/1/1956,Melbourne
42,1:03.20,Loraine Crapp,AUS,,10/25/1956,Sydney
43,1:03.30,Dawn Fraser,AUS,,8/25/1956,Townsville
,,,,,,
Men's 200 FR LCM,,,,,,
1,1:42.00,Paul Biedermann,GER,2009 World Champs ,7/28/2009,Rome
2,1:42.96,Michael Phelps,USA,2008 Olympic Games,8/12/2008,Beijing
3,1:43.86,Michael Phelps,USA,2007 World Champs,3/27/2007,Melbourne
4,1:44.06,Ian Thorpe,AUS,2001 World Champs,7/25/2001,Fukuoka
5,1:44.69,Ian Thorpe,AUS,,3/27/2001,Hobart
6,1:45.35,Pieter Van Den ,,,,Sydney
,,Hoogenband,NED,,9/17/2000,
6,1:45.35,Pieter Van Den ,,,,Sydney
