Rank,Time,Athlete,,,,,Team,,Meet Name,,,,Date,,,,
,,,,,,,Code,,,,,,Date,,,,

1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,Page,1,of,5
,,,,NCAA Division I Record Progressions,,,,,,,,,,,,,
Women's 50 FR SCY,,,,,,,,,,,,,,,,,
1,20.90,Abbey Weitzeil,,,,,,,,,,,12/5/2019,,,,
2,21.02,Abbey Weitzeil,,,,,CAL,,2019 NCAA DI Women's Champs,,,,3/21/2019,,,,
3,21.15,Erika Brown,,,,,TENN,,2019 SEC Champs,,,,2/20/2019,,,,
4,21.17,Simone Manuel,,,,,STAN,,2017 NCAA DI Womens ,,,,3/16/2017,,,,
5,21.21,Olivia Smoliga,,,,,UGA,,2016 NCAA DI Womens,,,,3/17/2016,,,,
6,21.27,Lara Jackson,,,,,ARIZ,,2009 NCAA DI Women's ,,,,3/19/2009,,,,
7,21.33,Lara Jackson,,,,,ARIZ,,UT Invite,,,,12/4/2008,,,,
8,21.37,Lara Jackson,,,,,ARIZ,,UT Invite,,,,12/4/2008,,,,
,,,,,,,,,,,,,,,,,
Men's 50 FR SCY,,,,,,,,,,,,,,,,,
1,17.63,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/22/2018,,,,
2,18.11,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/22/2018,,,,
3,18.20,Caeleb Dressel,,,,,FLOR,,2016 NCAA DI Mens ,,,,3/24/2016,,,,
4,18.23,Caeleb Dressel,,,,,,,,,,,2/17/2016,,,,
5,18.39,Caeleb Dressel,,,,,,,,,,,2/17/2016,,,,
6,18.47,Cesar Cielo,,,,,AUB,,2008 NCAA DI Men's Championships,,,,3/27/2008,,,,
7,18.69,Cesar Cielo,,,,,,,2007 NCAA DI Men's Championships,,,,3/15/2007,,,,
8,18.74,Fred Bousquet,,,,,,,2005 Men's NCAA Champs,,,,3/24/2005,,,,
,,,,,,,,,,,,,,,,,
Women's 100 FR SCY,,,,,,,,,,,,,,,,,
1,45.56,Simone Manuel,,,,,STAN,,2017 NCAA DI Womens ,,,,3/18/2017,,,,
2,46.09,Simone Manuel,,,,,STAN,,2015 NCAA D1 Womens ,,,,3/21/2015,,,,
3,46.61,Arianna Vanderpool-Wallace,,,,,AUB,,2012 SEC Swimming & Diving Cha,,,,2/18/2012,,,,
,,,,,,,,,,,,,,,,,
4,46.81,Arianna Vanderpool-Wallace,,,,,AUB,,2011 SEC Championships,,,,2/16/2011,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 100 FR SCY,,,,,,,,,,,,,,,,,
1,39.90,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/24/2018,,,,
2,40.00,Caeleb Dressel,,,,,FLOR,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
3,40.46,Caeleb Dressel,,,,,FLOR,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
4,40.76,Vladimir Morozov,,,,,USC,,2013 NCAA Division 1 Men's ,,,,3/30/2013,,,,
5,40.92,Cesar Cielo,,,,,AUB,,2008 NCAA DI Men's Championships,,,,3/27/2008,,,,
,,,,,,,,,,,,,,,,,
Women's 200 FR SCY,,,,,,,,,,,,,,,,,
