1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,1,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 50 FR SCM,,,,,,,,,,,,,,,,
1,20.24,Caeleb Dressel,,,,USA,,2019 ISL Championship,,,,12/20/2019,,"Las Vegas, NV",,
2,20.26,Florent Manaudou,,,,FRA,,2014 SCM World Champs ,,,,12/5/2014,,Doha,,
3,20.30,Roland Schoeman,,,,RSA,,,,,,8/8/2009,,Pietermaritzburg,,
4,20.48,Amaury Leveaux,,,,FRA,,2008 European SC Champs ,,,,12/11/2008,,,,
5,20.64,Roland Schoeman,,,,RSA,,,,,,9/6/2008,,Germiston,,
6,20.81,Duje Draganja,,,,CRO,,2008 SC Worlds Champs,,,,4/9/2008,,,,
7,20.93,Stefan Nystrand,,,,SWE,,,,,,11/18/2007,,,,
8,20.98,Roland Schoeman,,,,RSA,,,,,,8/12/2006,,,,
9,21.10,Fred Bousquet,,,,FRA,,,,,,3/25/2004,,,,
10,21.13,Mark Foster,,,,GBR,,,,,,1/28/2001,,,,
11,21.21,Tony Ervin,,,,USA,,,,,,2/23/2000,,,,
12,21.28,Roland Schoeman,,,,RSA,,,,,,3/23/2000,,,,
13,21.31,Mark Foster,,,,GBR,,,,,,12/13/1998,,,,
13,21.31,Roland Schoeman,,,,RSA,,,,,,3/23/2000,,,,
15,21.48,Mark Foster,,,,GBR,,,,,,12/13/1998,,,,
16,21.50,Alexander Popov,,,,RUS,,,,,,3/13/1994,,,,
17,21.60,Mark Foster,,,,GBR,,,,,,2/17/1993,,,,
18,21.64,Steve Crocker,,,,USA,,,,,,3/24/1992,,,,
,,,,,,,,,,,,,,,,
Women's 50 FR SCM,,,,,,,,,,,,,,,,
1,22.93,Ranomi Kromowidjojo,,,,NED,,2017 World Cup - Berlin,,,,8/7/2017,,Berlin,,
2,23.10,Sarah Sjostrom,,,,SWE,,2017 World Cup - Moscow,,,,8/2/2017,,Moscow,,
3,23.24,Ranomi Kromowidjojo,,,,NED,,2013 World Cup2 - Eindhoven ,,,,8/7/2013,,Eindhoven,,
3,23.24,Ranomi Kromowidjojo,,,,NED,,Mutual of Omaha Duel in the Pool,,,,12/12/2015,,Indianapolis,,
5,23.25,Marleen Veldhuis,,,,NED,,,,,,4/13/2008,,,,
6,23.58,Marleen Veldhuis,,,,NED,,,,,,11/17/2007,,,,
7,23.59,Therese Alshammar,,,,SWE,,,,,,3/18/2000,,,,
8,24.09,Therese Alshammar,,,,SWE,,,,,,12/11/1999,,,,
9,24.23,Le Jingyi,,,,CHN,,,,,,12/2/1993,,,,
10,24.62,Le Jingyi,,,,CHN,,,,,,12/3/1993,,,,
11,24.75,Franziska Van Almsick,,,,GER,,,,,,11/7/1992,,,,
,,,,,,,,,,,,,,,,
Men's 100 FR SCM,,,,,,,,,,,,,,,,
1,44.94,Amaury Leveaux,,,,FRA,,2008 European SC Champs ,,,,12/13/2008,,Rijeka,,
2,45.12,Amaury Leveaux,,,,FRA,,2008 European SC Champs ,,,,12/11/2008,,,,
3,45.69,Alain Bernard,,,,FRA,,,,,,12/7/2009,,,,
4,45.83,Stefan Nystrand,,,,SWE,,,,,,11/17/2007,,,,
5,46.25,Ian Crocker,,,,USA,,,,,,3/27/2004,,,,
5,46.25,Roland Schoeman,,,,RSA,,,,,,1/22/2005,,,,
7,46.74,Alexander Popov,,,,RUS,,,,,,3/18/1994,,,,
8,47.12,Alexander Popov,,,,RUS,,,,,,3/12/1994,,,,
9,47.82,Alexander Popov,,,,RUS,,,,,,1/5/1994,,,,
10,47.83,Alexander Popov,,,,RUS,,,,,,1/1/1994,,,,
11,47.94,Gustavo Borges,,,,BRA,,,,,,6/2/1993,,,,
,,,,,,,,,,,,,,,,
Women's 100 FR SCM,,,,,,,,,,,,,,,,
1,50.25,Cate Campbell,,,,AUS,,2017 Hancock Prospecting Short,,,,10/26/2017,,Adelaide,,
2,50.58,Sarah Sjostrom,,,,SWE,,2017 World Cup - Eindhoven,,,,8/11/2017,,Eindhoven,,
3,50.77,Sarah Sjostrom,,,,SWE,,2017 World Cup - Moscow,,,,8/3/2017,,Moscow,,
4,50.91,Cate Campbell,,,,AUS,,2015 Hancock Prospecting Austr,,,,11/28/2015,,Sydney,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,2,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 100 FR SCM,,,,,,,,,,,,,,,,
5,51.01,Libby Trickett,,,,AUS,,2012 SCM Fina meet,,,,8/10/2009,,Hobart,,
6,51.70,Libby Trickett,,,,AUS,,,,,,8/9/2005,,,,
7,51.91,Libby Trickett,,,,AUS,,,,,,8/8/2005,,,,
8,52.17,Therese Alshammar,,,,SWE,,,,,,3/17/2000,,,,
9,52.80,Therese Alshammar,,,,SWE,,,,,,12/10/1999,,,,
10,53.01,Le Jingyi,,,,CHN,,,,,,12/2/1993,,,,
11,53.33,Franziska Van Almsick,,,,,,,,,,1/10/1993,,,,
12,53.46,Franziska Van Almsick,,,,GER,,,,,,1/6/1993,,,,
,,,,,,,,,,,,,,,,
Men's 200 FR SCM,,,,,,,,,,,,,,,,
1,1:39.37,Paul Biedermann,,,,GER,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
2,1:40.83,Paul Biedermann,,,,GER,,,,,,11/16/2008,,,,
3,1:41.10,Ian Thorpe,,,,AUS,,,,,,2/6/2000,,,,
4,1:42.54,Ian Thorpe,,,,AUS,,,,,,1/18/2000,,,,
5,1:43.28,Ian Thorpe,,,,AUS,,,,,,4/1/1999,,,,
,,,,,,,,,,,,,,,,
Women's 200 FR SCM,,,,,,,,,,,,,,,,
1,1:50.43,Sarah Sjostrom,,,,SWE,,2017 World Cup - Eindhoven,,,,8/12/2017,,Eindhoven,,
2,1:50.78,Sarah Sjostrom,,,,SWE,,2014 SCM World Champs ,,,,12/7/2014,,Doha,,
3,1:51.17,Federica Pellegrini,,,,ITA,,2009 European SC Champs,,,,12/13/2009,,Istanbul,,
4,1:51.85,Federica Pellegrini,,,,ITA,,,,,,12/14/2008,,,,
5,1:53.18,Coralie Balmy,,,,FRA,,,,,,12/6/2008,,,,
6,1:53.29,Libby Trickett,,,,AUS,,,,,,11/19/2005,,,,
7,1:54.04,Lindsay Mintenko,,,,USA,,,,,,4/7/2002,,,,
8,1:54.17,Claudia Poll,,,,CRC,,,,,,4/18/1997,,,,
9,1:55.42,Claudia Poll,,,,CRC,,,,,,12/1/1995,,,,
10,1:55.84,Franziska Van Almsick,,,,GER,,,,,,1/9/1993,,,,
,,,,,,,,,,,,,,,,
Men's 400 FR SCM,,,,,,,,,,,,,,,,
1,3:32.25,Yannick Agnel,,,,FRA,,French Short Course Swimming ,,,,11/15/2012,,Angers,,
,,,,,,,,Championships,,,,,,,,
2,3:32.77,Paul Biedermann,,,,GER,,,,,,11/14/2009,,,,
3,3:34.58,Grant Hackett,,,,AUS,,2002 Telstra Grand Prix,,,,7/18/2002,,,,
4,3:35.01,Grant Hackett,,,,AUS,,,,,,4/2/1998,,Hong Kong,,
,,,,,,,,,,,,,,,,
Women's 400 FR SCM,,,,,,,,,,,,,,,,
1,3:53.92,Ariarne Titmus,,,,AUS,,2018 SCM World Champs,,,,12/14/2018,,Hangzhou,,
2,3:53.97,Wang Jianjiahe,,,,CHN,,2018 World Cup - Budapest,,,,10/4/2018,,Budapest,,
3,3:54.52,Mireia Belmonte,,,,ESP,,2013 World Cup - Berlin,,,,8/11/2013,,Berlin,,
4,3:54.85,Camille Muffat,,,,FRA,,2012 European SCM Champs,,,,11/22/2012,,Chartres,,
5,3:54.92,Joanne Jackson,,,,GBR,,2000 Duel Invite,,,,8/8/2009,,Leeds,,
6,3:56.09,Laure Manaudou,,,,FRA,,,,,,12/9/2006,,,,
7,3:56.79,Laure Manaudou,,,,FRA,,,,,,10/10/2005,,,,
8,3:59.53,Lindsay Mintenko,,,,USA,,,,,,1/26/2003,,,,
9,4:00.03,Claudia Poll,,,,CRC,,,,,,4/19/1997,,,,
,,,,,,,,,,,,,,,,
Men's 800 FR SCM,,,,,,,,,,,,,,,,
1,7:23.42,Grant Hackett,,,,AUS,,Top Times (personal best),,,,7/20/2008,,Melbourne,,
2,7:25.28,Grant Hackett,,,,AUS,,,,,,8/3/2001,,,,
3,7:34.90,Kieren Perkins,,,,AUS,,,,,,7/25/1993,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,3,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 800 FR SCM,,,,,,,,,,,,,,,,
1,7:59.34,Mireia Belmonte,,,,ESP,,2013 World Cup - Berlin,,,,8/10/2013,,Berlin,,
2,8:01.06,Camille Muffat,,,,FRA,,French Short Course Swimming ,,,,11/16/2012,,Angers,,
,,,,,,,,Championships,,,,,,,,
3,8:04.53,Alessia Filippi,,,,ITA,,,,,,12/12/2008,,,,
4,8:08.00,Kate Ziegler,,,,USA,,,,,,10/14/2007,,,,
5,8:09.68,Kate Ziegler,,,,,,,,,,10/12/2007,,,,
6,8:11.25,Laure Manaudou,,,,FRA,,,,,,12/9/2006,,,,
7,8:13.35,Sachiko Yamada,,,,JPN,,,,,,1/24/2004,,,,
8,8:14.35,Sachiko Yamada,,,,JPN,,,,,,4/2/2002,,,,
9,8:15.15,Chen Hua,,,,CHN,,,,,,12/2/2001,,,,
,,,,,,,,,,,,,,,,
Men's 1500 FR SCM,,,,,,,,,,,,,,,,
1,14:08.06,Gregorio Paltrinieri,,,,ITA,,2015 European SC Champs,,,,12/4/2015,,Netanya,,
2,14:10.10,Grant Hackett,,,,AUS,,2001 Australia SCM Champs,,,,8/7/2001,,Perth,,
3,14:19.55,Grant Hackett,,,,AUS,,,,,,9/27/1998,,,,
4,14:26.52,Kieren Perkins,,,,AUS,,,,,,7/14/1993,,,,
5,14:32.40,Kieren Perkins,,,,AUS,,,,,,2/2/1992,,,,
,,,,,,,,,,,,,,,,
Women's 1500 FR SCM,,,,,,,,,,,,,,,,
1,15:19.71,Mireia Belmonte,,,,ESP,,,,,,12/12/2014,,Sabadell,,
2,15:22.68,Lauren Boyle,,,,NZL,,2014 Wellington Winter Championships,,,,8/9/2014,,Wellington,,
3,15:26.95,Mireia Belmonte,,,,ESP,,Spanish Winter Championships,,,,11/29/2013,,Castellon,,
4,15:28.65,Lotte Friis,,,,DEN,,,,,,11/28/2009,,,,
5,15:32.90,Kate Ziegler,,,,USA,,,,,,10/12/2007,,,,
6,15:42.39,Laure Manaudou,,,,FRA,,,,,,11/20/2004,,,,
,,,,,,,,,,,,,,,,
Men's 50 BK SCM,,,,,,,,,,,,,,,,
1,22.22,Florent Manaudou,,,,FRA,,2014 SCM World Champs ,,,,12/6/2014,,Doha,,
2,22.61,Peter Marshall,,,,USA,,,,,,11/22/2009,,Singapore,,
3,22.73,Peter Marshall,,,,USA,,,,,,11/11/2009,,,,
4,22.75,Peter Marshall,,,,USA,,,,,,10/17/2009,,,,
5,22.87,Randall Bal,,,,USA,,,,,,11/16/2008,,,,
6,23.05,Peter Marshall,,,,USA,,,,,,11/12/2008,,,,
7,23.24,Bobby Hurley,,,,AUS,,,,,,10/26/2008,,,,
8,23.27,Thomas Rupprath,,,,GER,,,,,,12/10/2004,,,,
9,23.31,Matt Welsh,,,,AUS,,,,,,9/2/2002,,,,
10,23.42,Neil Walker,,,,USA,,,,,,3/16/2000,,,,
11,24.04,Neil Walker,,,,USA,,,,,,3/16/2000,,,,
12,24.11,Matt Welsh,,,,AUS,,,,,,1/14/2000,,,,
13,24.12,Neil Walker,,,,USA,,,,,,11/18/1999,,,,
14,24.13,Thomas Rupprath,,,,GER,,,,,,12/11/1998,,,,
14,24.13,Matt Welsh,,,,AUS,,,,,,9/2/1999,,,,
