Rank,Time,Athlete,Country,Meet Name,Date,Location
Men's 100 FR LCM,,,,,,
8,47.84,Pieter Van Den ,,2000 Olympic Games,,Sydney
,,Hoogenband,NED,,9/19/2000,

Women's 50 FR LCM,,,,,,
1,20.91,Cesar Cielo,BRA,2009 BRA Open,12/18/2009,Sao Paulo
2,20.94,Fred Bousquet,FRA,,4/26/2009,Montpellier
,,,,,,

Men's 100 BK LCM,,,,,,
1,51.85,Ryan Murphy,USA,2016 Olympic Games,8/13/2016,Rio
2,51.94,Aaron Peirsol,USA,2009 USA Swimming National Champs,7/8/2009,Indianapolis
3,52.38,Aschwin Wildeboer ,,,,Pescara
,,Faber,ESP,,7/1/2009,


