="description",="record_tracking_list_display_format_id",="age_group_desc",="record_tracking_list_event_id",="gender",="distance",="stroke_code",="course_code",="RANK",="swim_time",="individual_time_id",="relay_time_id",="preferred_name",="first_name",="last_name",="lsc_id",="club_code",="team_code",="ind_meet_name",="rel_meet_name",="country_code",="location",="location_country_code",="swim_date",="session_desc",="relay_lead_yn",="bios_display_swap_first_last_name_yn",="disable_name_swapping_yn"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="1",="1/1/1900 12:00:20 AM",="48270495",="",="",="Cesar",="Cielo",="AZ",="UN",="",="2009 BRA Open",="",="BRA",="Sao Paulo",="BRA",="12/18/2009",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="2",="1/1/1900 12:00:20 AM",="",="",="Fred",="Frederick",="Bousquet",="SE",="AUB",="",="",="",="FRA",="Montpellier",="FRA",="4/26/2009",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="3",="1/1/1900 12:00:21 AM",="30896459",="",="",="Eamon",="Sullivan",="US",="UN",="",="2008 AUS Olympic Trials",="",="AUS",="Sydney",="AUS",="3/28/2008",="Final",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="4",="1/1/1900 12:00:21 AM",="",="",="",="Eamon",="Sullivan",="US",="UN",="",="",="",="AUS",="Sydney",="AUS",="3/27/2008",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="5",="1/1/1900 12:00:21 AM",="30573937",="",="",="Alain",="Bernard",="US",="UN",="",="2008 European Champs",="",="FRA",="Eindhoven",="NED",="3/23/2008",="Semi",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="6",="1/1/1900 12:00:21 AM",="",="",="",="Eamon",="Sullivan",="US",="UN",="",="",="",="AUS",="Sydney",="AUS",="2/17/2008",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="7",="1/1/1900 12:00:21 AM",="1077761",="",="",="Alexander",="Popov",="US",="UN",="",="2000 Time Trial",="",="RUS",="Moscow",="URS",="6/16/2000",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="8",="1/1/1900 12:00:21 AM",="",="",="Tom",="Thomas",="Jager",="CO",="GMSC",="",="",="",="USA",="Nashville",="USA",="3/24/1990",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="9",="1/1/1900 12:00:21 AM",="",="",="Tom",="Thomas",="Jager",="CO",="GMSC",="",="",="",="USA",="Nashville",="USA",="3/24/1990",="Prelim",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="10",="1/1/1900 12:00:22 AM",="",="",="Tom",="Thomas",="Jager",="CO",="GMSC",="",="",="",="USA",="Tokyo",="JPN",="8/20/1989",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="11",="1/1/1900 12:00:22 AM",="",="",="Matt",="Matthew",="Biondi",="HI",="ASC",="",="",="",="USA",="Seoul",="KOR",="9/24/1988",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="12",="1/1/1900 12:00:22 AM",="",="",="",="Peter",="Williams",="US",="",="",="",="",="RSA",="Indianapolis",="USA",="4/10/1988",="",="N",="N",="N"
="World Record Progressions",="2",="",="103",="M",="50",="FR",="LCM",="13",="1/1/1900 12:00:22 AM",="",="",="Tom",="Thomas",="Jager",="CO",="GMSC",="",="",="",="USA",="Orlando",="USA",="3/25/1988",="",="N",="N",="N"
